Time Stamp (EST),Player Name,Serial,Set,Tier,Series,Play,Date of Moment,Team,Circulation Count,Owned,Unique Owners,In Packs,Minted,Held by TS,Collector Score,Gain/Loss,Purchase Price,Low Ask,4h,24h,7d,Listings,Purchase Date,Top Shot Debut,Rookie Premiere,Rookie Mint,Rookie Year,Edition State,Play ID,Set ID,Top Shot Link
2022-01-16 22:58,Mike Conley,16674,Base Set,Common,2,Jump Shot,2021-01-22 03:00:00+00:00,Utah Jazz,40000,35578,0,3229,1704,0,12,-3.00,8,5.00,0.00,0.00,0.00,2573,2021-04-12 06:16:19+00:00,False,False,False,False,VISIBLE,22b96d87-4878-42a7-a77b-46ca78e6d8b7,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+22b96d87-4878-42a7-a77b-46ca78e6d8b7
2022-01-16 22:57,Jrue Holiday,15978,Base Set,Common,2,Layup,2020-12-24 00:30:00+00:00,Milwaukee Bucks,35000,31866,0,2543,685,0,12,6.00,0,6.00,0.00,0.00,0.00,2202,2021-04-30 01:00:10+00:00,False,False,False,False,VISIBLE,c9ddea3c-b0c5-4733-aa77-35c7b283e802,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c9ddea3c-b0c5-4733-aa77-35c7b283e802
2022-01-16 22:57,Goran Dragić,29406,Base Set,Common,2,Layup,2021-01-19 01:00:00+00:00,Miami Heat,40000,35627,0,3204,2025,0,12,1.00,3,4.00,0.00,0.00,0.00,2865,2022-01-05 02:24:09+00:00,False,False,False,False,VISIBLE,b5f5dcc9-6588-49ea-b73c-562db2085465,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b5f5dcc9-6588-49ea-b73c-562db2085465
2022-01-16 22:57,Nickeil Alexander-Walker,695,Base Set,Common,2,Layup,2021-01-31 01:00:00+00:00,New Orleans Pelicans,12000,11159,0,698,154,0,12,21.00,0,21.00,5.00,0.00,-27.59,468,2022-01-13 21:18:52+00:00,True,False,False,False,VISIBLE,2c978c17-6aed-4123-9d5a-59f715e80734,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2c978c17-6aed-4123-9d5a-59f715e80734
2022-01-16 22:57,Fred VanVleet,34187,Base Set,Common,2,Layup,2021-02-03 00:00:00+00:00,Toronto Raptors,40000,35578,0,3239,1404,0,12,-1.00,10,9.00,-10.00,-30.77,-25.00,1702,2022-01-05 01:40:04+00:00,False,False,False,False,VISIBLE,f4ddd5c4-5015-4c58-bbd4-b0d891302436,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f4ddd5c4-5015-4c58-bbd4-b0d891302436
2022-01-16 22:57,P.J. Tucker,32971,Base Set,Common,2,3 Pointer,2021-01-23 00:00:00+00:00,Houston Rockets,35000,31815,0,2575,1107,0,12,-2.00,6,4.00,0.00,0.00,0.00,2545,2021-07-12 02:22:26+00:00,False,False,False,False,VISIBLE,94fb4073-e00f-4334-b15b-6e659f294c98,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+94fb4073-e00f-4334-b15b-6e659f294c98
2022-01-16 22:57,Tyrese Haliburton,29445,Base Set,Common,2,Dunk,2021-01-30 00:30:00+00:00,Sacramento Kings,40000,35617,0,3216,1178,0,12,-8.00,25,17.00,-5.56,-10.53,-19.05,2057,2021-10-13 19:55:39+00:00,False,False,True,True,VISIBLE,b09d1925-85d3-49aa-8450-d7fc686593f3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b09d1925-85d3-49aa-8450-d7fc686593f3
2022-01-16 22:57,Jae Crowder,22554,Base Set,Common,2,3 Pointer,2021-01-24 02:00:00+00:00,Phoenix Suns,40000,35703,0,3107,1946,0,12,-10.00,14,4.00,0.00,0.00,0.00,1863,2021-07-12 03:25:29+00:00,False,False,False,False,VISIBLE,ab7b575d-efaf-459e-b969-0fefd90dbe5d,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+ab7b575d-efaf-459e-b969-0fefd90dbe5d
2022-01-16 22:57,Jusuf Nurkić,18170,Base Set,Common,2,Block,2021-01-14 03:00:00+00:00,Portland Trail Blazers,40000,35982,0,3144,1284,0,12,8.00,0,8.00,0.00,14.29,33.33,1580,2021-12-22 01:53:52+00:00,False,False,False,False,VISIBLE,1c3ab8bf-df99-414c-ab22-fd073b62e8e8,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1c3ab8bf-df99-414c-ab22-fd073b62e8e8
2022-01-16 22:56,Zach LaVine,6531,Base Set,Common,2,Dunk,2021-01-10 21:00:00+00:00,Chicago Bulls,35000,31877,0,2533,731,0,12,-3.00,10,7.00,0.00,0.00,-12.50,2173,2021-11-18 05:30:00+00:00,False,False,False,False,VISIBLE,bb572981-726f-4ffe-b547-830a83d48268,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bb572981-726f-4ffe-b547-830a83d48268
2022-01-16 22:56,Miles Bridges,27451,Base Set,Common,2,Dunk,2021-02-04 00:00:00+00:00,Charlotte Hornets,35000,31860,0,2546,680,0,12,-5.00,13,8.00,0.00,0.00,0.00,1935,2021-09-22 01:01:38+00:00,False,False,False,False,VISIBLE,45bc5a83-fdcc-471d-bfc4-9ea1f45b9d8c,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+45bc5a83-fdcc-471d-bfc4-9ea1f45b9d8c
2022-01-16 22:56,Eric Gordon,25251,Base Set,Common,2,Layup,2021-01-11 00:00:00+00:00,Houston Rockets,40000,35503,0,2747,2615,0,12,4.00,0,4.00,0.00,0.00,0.00,2439,2021-04-27 06:18:14+00:00,False,False,False,False,VISIBLE,f7ff5b5c-494f-4240-a74f-bea14db4e175,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f7ff5b5c-494f-4240-a74f-bea14db4e175
2022-01-16 22:56,Eric Paschall,25619,Base Set,Common,2,Layup,2021-01-29 03:00:00+00:00,Golden State Warriors,40000,35592,0,2731,2390,0,12,-1.00,5,4.00,0.00,0.00,-20.00,1473,2022-01-08 00:53:48+00:00,False,False,False,False,VISIBLE,997c9484-8b1e-49bc-8378-a2a981d8bf65,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+997c9484-8b1e-49bc-8378-a2a981d8bf65
2022-01-16 22:56,Draymond Green,7756,Base Set,Common,2,Assist,2021-02-05 00:30:00+00:00,Golden State Warriors,35000,31784,0,2049,1430,0,12,-1.00,6,5.00,0.00,0.00,0.00,2173,2021-04-10 06:40:49+00:00,False,False,False,False,VISIBLE,0153c84a-2eee-48a2-9795-de1eb307ccb3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+0153c84a-2eee-48a2-9795-de1eb307ccb3
2022-01-16 22:55,Damian Lillard,27641,Base Set,Common,2,3 Pointer,2021-01-31 01:00:00+00:00,Portland Trail Blazers,35000,31795,0,2020,1241,0,12,5.00,0,5.00,0.00,0.00,-16.67,2346,2021-03-20 16:20:43+00:00,False,False,False,False,VISIBLE,d11030a2-836a-4f4c-8a54-467e03127784,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d11030a2-836a-4f4c-8a54-467e03127784
2022-01-16 22:55,CJ McCollum,8407,Base Set,Common,2,Handles,2021-01-12 03:00:00+00:00,Portland Trail Blazers,40000,35460,0,2809,2060,0,12,5.00,0,5.00,0.00,25.00,0.00,1933,2021-03-13 22:47:34+00:00,False,False,False,False,VISIBLE,b2cf1101-71d8-4870-992f-1b5e2cd937e7,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+b2cf1101-71d8-4870-992f-1b5e2cd937e7
2022-01-16 22:55,Avery Bradley,9683,Base Set,Common,2,Layup,2020-12-31 00:30:00+00:00,Miami Heat,12000,11125,0,584,317,0,12,1.00,14,15.00,-6.25,15.38,-11.76,508,2022-01-09 05:37:33+00:00,True,False,False,False,VISIBLE,d7e50e02-88dd-474d-9512-d6586a0cdc46,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d7e50e02-88dd-474d-9512-d6586a0cdc46
2022-01-16 22:55,Evan Fournier,21157,Base Set,Common,2,Layup,2021-02-06 00:00:00+00:00,Orlando Magic,35000,31721,0,2123,1622,0,12,4.00,0,4.00,0.00,0.00,-20.00,2127,2021-04-02 06:01:58+00:00,False,False,False,False,VISIBLE,3cd32a2f-8590-4c1d-bdfe-dc00f117b1c4,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3cd32a2f-8590-4c1d-bdfe-dc00f117b1c4
2022-01-16 22:55,Karl-Anthony Towns,5988,Base Set,Common,2,Dunk,2021-01-10 01:00:00+00:00,Minnesota Timberwolves,35000,31724,0,2096,1282,0,12,7.00,0,7.00,0.00,0.00,0.00,2164,2021-12-22 01:54:54+00:00,False,False,False,False,VISIBLE,e51ae854-54e7-4111-86d1-1c8f50355491,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e51ae854-54e7-4111-86d1-1c8f50355491
2022-01-16 22:55,Anthony Edwards,34074,Base Set,Common,2,Dunk,2021-01-26 03:00:00+00:00,Minnesota Timberwolves,40000,35578,0,2729,1697,0,12,-25.00,82,57.00,-1.72,3.64,3.64,1883,2021-09-22 00:59:25+00:00,False,False,True,True,VISIBLE,d5321f63-952c-42d5-bf43-9ea99e4e37ce,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d5321f63-952c-42d5-bf43-9ea99e4e37ce
2022-01-16 22:55,Malik Beasley,25917,Base Set,Common,2,Handles,2021-01-11 01:00:00+00:00,Minnesota Timberwolves,40000,35526,0,2749,1959,0,12,-1.00,8,7.00,0.00,0.00,0.00,1578,2022-01-05 22:22:36+00:00,False,False,False,False,VISIBLE,5cd75a86-c7dc-45da-b1b4-475297f5781c,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+5cd75a86-c7dc-45da-b1b4-475297f5781c
2022-01-16 22:55,Montrezl Harrell,22547,Base Set,Common,2,Dunk,2021-01-26 01:00:00+00:00,Los Angeles Lakers,40000,35527,0,2748,2122,0,12,-1.00,5,4.00,0.00,0.00,-20.00,1631,2021-04-23 00:39:42+00:00,False,False,False,False,VISIBLE,3a1c50fb-8f5c-416d-aa82-544158252b35,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3a1c50fb-8f5c-416d-aa82-544158252b35
2022-01-16 22:55,Montrezl Harrell,33109,Base Set,Common,2,Dunk,2021-01-26 01:00:00+00:00,Los Angeles Lakers,40000,35527,0,2748,2122,0,12,4.00,0,4.00,0.00,0.00,-20.00,1631,2021-12-30 23:03:15+00:00,False,False,False,False,VISIBLE,3a1c50fb-8f5c-416d-aa82-544158252b35,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3a1c50fb-8f5c-416d-aa82-544158252b35
2022-01-16 22:55,Devonte' Graham,16197,Base Set,Common,2,Jump Shot,2021-01-23 00:00:00+00:00,Charlotte Hornets,40000,35505,0,2759,1988,0,12,6.00,0,6.00,-14.29,-14.29,-14.29,1623,2021-04-30 01:00:04+00:00,False,False,False,False,VISIBLE,161557b1-d8a1-424c-a7c1-5862463ff41f,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+161557b1-d8a1-424c-a7c1-5862463ff41f
2022-01-16 22:55,Nikola Jokić,22072,Base Set,Common,2,Assist,2021-01-06 02:00:00+00:00,Denver Nuggets,35000,31715,0,2085,1266,0,12,8.00,0,8.00,-11.11,0.00,14.29,2213,2021-05-11 00:39:06+00:00,False,False,False,False,VISIBLE,8aa48bd0-d9de-4aa0-9600-d05fd9dd74dd,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8aa48bd0-d9de-4aa0-9600-d05fd9dd74dd
2022-01-16 22:55,Cody Zeller,11658,Base Set,Common,2,Dunk,2021-01-31 01:00:00+00:00,Charlotte Hornets,40000,35465,0,2797,2084,0,12,6.00,0,6.00,-14.29,-14.29,-14.29,1886,2022-01-07 03:30:51+00:00,False,False,False,False,VISIBLE,8d4782e6-a99c-4957-89f3-c8a8d53ea631,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8d4782e6-a99c-4957-89f3-c8a8d53ea631
2022-01-16 22:54,Patrick Beverley,33786,Base Set,Common,2,Layup,2020-12-31 03:00:00+00:00,LA Clippers,40000,35514,0,2761,2629,0,12,4.00,0,4.00,0.00,0.00,0.00,1941,2021-11-19 06:44:07+00:00,False,False,False,False,VISIBLE,2281ca46-db52-4929-85a4-fe2d1608191b,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2281ca46-db52-4929-85a4-fe2d1608191b
2022-01-16 22:54,Anthony Davis,14420,Base Set,Common,2,Dunk,2021-01-06 01:00:00+00:00,Los Angeles Lakers,15000,14224,0,776,6,0,12,-268.00,278,10.00,-16.67,-9.09,-16.67,1603,2021-02-23 00:31:39+00:00,False,False,False,False,VISIBLE,7f2e14f9-bedc-4b47-be7d-c85af8f48ab7,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+7f2e14f9-bedc-4b47-be7d-c85af8f48ab7
2022-01-16 22:54,Trae Young,4761,Base Set,Common,2,Layup,2021-01-17 03:00:00+00:00,Atlanta Hawks,15000,14136,0,864,5,0,12,-2.00,11,9.00,0.00,0.00,-10.00,1481,2021-11-18 03:11:45+00:00,False,False,False,False,VISIBLE,543a9cf6-4881-4e77-8a7e-ffcb740691db,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+543a9cf6-4881-4e77-8a7e-ffcb740691db
2022-01-16 22:53,Draymond Green,9110,Base Set,Common,2,Assist,2021-01-05 03:00:00+00:00,Golden State Warriors,15000,14157,0,843,16,0,12,-8.00,15,7.00,0.00,0.00,-12.50,1520,2021-03-29 06:41:46+00:00,False,False,False,False,VISIBLE,62d7209a-4402-4345-a6b6-67e391920488,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+62d7209a-4402-4345-a6b6-67e391920488
2022-01-16 22:53,Jaylen Brown,12628,Base Set,Common,2,Jump Shot,2020-12-31 00:30:00+00:00,Boston Celtics,15000,14377,0,623,28,0,12,-1.00,8,7.00,-12.50,-12.50,-22.22,1184,2021-12-27 23:22:20+00:00,False,False,False,False,VISIBLE,211f28c0-c27c-4157-a76b-575105470abb,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+211f28c0-c27c-4157-a76b-575105470abb
2022-01-16 22:53,Kendrick Nunn,8551,Base Set,Common,2,Dunk,2020-12-31 00:30:00+00:00,Miami Heat,15000,14450,0,549,108,0,12,4.00,0,4.00,0.00,-20.00,-20.00,1485,2021-03-20 16:20:43+00:00,False,False,False,False,VISIBLE,5d438eb8-0386-43f1-be4c-ec89d9cea8d8,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+5d438eb8-0386-43f1-be4c-ec89d9cea8d8
2022-01-16 22:52,Darius Bazley,12336,Base Set,Common,2,Dunk,2021-01-05 00:30:00+00:00,Oklahoma City Thunder,15000,14371,0,629,71,0,12,-4.00,16,12.00,0.00,9.09,33.33,1141,2022-01-13 23:21:10+00:00,False,False,False,False,VISIBLE,88284d35-333f-4c6e-9687-2e5f605542c9,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+88284d35-333f-4c6e-9687-2e5f605542c9
2022-01-16 22:52,Joel Embiid,3026,Base Set,Common,2,Jump Shot,2020-12-27 00:30:00+00:00,Philadelphia 76ers,15000,14413,0,587,14,0,12,0.00,10,10.00,-9.09,0.00,11.11,1152,2021-12-24 10:22:50+00:00,False,False,False,False,VISIBLE,42415f4a-ab59-4f4a-81f6-82ffbfb1d622,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+42415f4a-ab59-4f4a-81f6-82ffbfb1d622
2022-01-16 22:52,T.J. McConnell,6719,Base Set,Common,2,Assist,2020-12-24 00:00:00+00:00,Indiana Pacers,15000,14406,0,594,108,0,12,2.00,4,6.00,0.00,20.00,20.00,863,2021-12-30 03:49:58+00:00,False,False,False,False,VISIBLE,dd736f1f-1dc9-4114-b73e-32d8cc680933,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+dd736f1f-1dc9-4114-b73e-32d8cc680933
